name,description
CF4042 Talk,"A platform for future, present and past gym members can learn more about CrossFit 4042, our programs, events and random thoughts. What got Coach Cody started in CrossFit? A little story about how coach Heather got started in CrossFit How did coach Kim get started with CrossFit? A little history of how CrossFit 4042 was founded and how Drew got into CrossFit. Quick explanation of what CrossFit 4042 was created to be."
CF5P ALL POINTS BULLETIN,All things Crossfit at CF5P Box updates and schedule changes.
Challenge your Circumstance,"You are one decision away from your breakthrough!Challenge your Circumstance program is a conscious method os decision making. Once you've perfected the approach to Acknowledge, Address, and Appreciate life's circumstances, you will no longer seek outside validation for purpose and begin living a life of fulfillment, one decision at a time. Acknowledge. Address. Appreciate. Lady Hammer shares her transformational journey and shares how living through the confusion sparked clarity in her purpose."
Champion Chat 360,"Be the champion you where meant to be in all areas of your life! Join Danika and Kristy as they talk about women's issues in health, fitness, competitions, and life. Today we talk about embracing the bumps that come with pregnancies. As people in the fitness field, where you are unfortunately judged by your body not your education. People want to see how fast you and your body bounce back.

BUT are we the ones putting the pressure on ourselves?  Stretch marks, weight gain, swollen ankles, back pain, hormones. Oh and brings a tiny human in to the world. No Big Deal...

Listen as Danika walks use through how she is dealing with it all as she comes to the end of pregnancy number two.

Contact us: 

@championchat360
championchat360@gmail.com

Danika: 
@danikarjohnson_
passionn84life@gmail.com

Kristy: 
@kristyleconte
www.kristyleconte.com Ok PEOPLE- WE ARE ON BABY WATCH. Danika is starting to show signs of readiness for baby number two.  Listen in on how she is feeling about pregnancy, switching doctors at 35 weeks (40 weeks is ""normally full term"" when pregnant), and her feelings on meeting Baby J. 

Connect with us: 

@championchat360
championchat360@gmail.com

Danika: 
@danikarjohnson_
passionn84life@gmail.com

Kristy: 
@kristyleconte
www.kristyleconte.com Today's episode is a mix of our life updates and some Questions from the listeners. 

If you have questions, connect us: 

@championchat360
championchat360@gmail.com

Danika: 
@danikarjohnson_
passionn84life@gmail.com

Kristy: 
@kristyleconte
www.kristylecont.com

Please like, review, and share this on your favorite social media. Today we are joined by Bikini Pro, Powerlifter, MBA Badass and new mom Melinda. Melinda shares her journey of her fit pregnant and her mindset through it all. She also shares advice on when your ""birth plan"" goes out the window. Lastly, she walks us through what it's like to be a working mom. 

Thank you Melinda for being open and honest about your path to Mommy-hood. Your story will help other females of all walks of life. 

Melinda has a podcast that is focused on fitness, health, and being a mother: Fit Talk Radio, on blog talk radio.

Contact us:

Melinda: 
@melinda_spencer.fe

Champion Chat 360:
@championchat360
championchat360@gmail.com

Danika: 
@danikarjohnson_
passionn84life@gmail.com

Kristy: 
@kristyleconte
www.kristyleconte.com Today we talk about the goals, or lack there- for the rest of 2019 and 2020.

Whether it's finishing a home improvement or the growth of a tiny human- the range is wide. 

What are you looking to achieve in as 2019 comes to an end? 

Share your ideas with us: 

Championchat30@gmail.com
@championchat360

Danika:
@danikarjohnson_
passionn84life@gmail.com

Kristy: 
www.kristyleconte.com
@kristyleconte Today's episode we talk about Kristy's experience at NPC Universe and the growth of Baby J. Two very different worlds centered all around the human body's ability to do amazing things.

Questions?
@championchat360
championchat360@gmail.com

Danika:
@danikiajohnsonr_
passionn84life@gmail.com

Kristy: 
@kristyleconte
kristyleconte@gmail.com"
Champions of Data - Polar Podcast,"Champions of Data takes you on a journey into the world of sports and performance. You’ll be hearing hands-on tips and inspiring stories from top athletes and coaches and digging deep into the background of successful training with leading scientists. Subscribe now and discover how to train smarter and become the athlete you want to be. No matter if you’re a pro athlete or just getting started with training for your first running event, dreams and goals are important building blocks for motivation. For pro runner Molly Huddle, dreams fuel long-term motivation whereas goals help her stay committed to putting in the work every day. A runner has to constantly push the limits in order to improve, but in the end, the best reward – race day – makes it all worth it. Listen and find out how Molly prepares for races and gets through the rough patches. This episode brings us back to one of the key themes in training: recovery. This time we’re taking a more scientific approach – Polar’s very own recovery specialist, senior researcher Ph.D. Daniela Schäfer Olstad will explain to us what recovery means from the science perspective and takes us through some basic concepts. Training load, supercompensation, autonomic nervous system… Listen and find out how they’re connected. Siri Lindley has been coaching triathletes ever since she wrapped up her own career as a professional athlete, and nowadays she’s also an esteemed speaker and author. For Siri, a successful coaching relationship isn’t just about training plans (which still play an important part, of course) – it’s about really getting to know her athletes and finding their ‘why’. Listen to what Siri has to say about failing and success, finding the greatest strengths within and building a good coach-athlete relationship. Pro athlete Emma Pallant made the transfer from running to triathlon in 2016. Being quite new to the sport, she’s constantly testing new things in her training and looking for the best ways to maximize her performance. A big part of this is finding the optimal amount of training and the best ways to recover from intense sessions. In this episode, Emma shares her best tips for both physical and mental recovery and tells us how and why she tracks her recovery. Sleep is nature’s own doping method, says Dr. Henri Tuomilehto, the sleep specialist whose mission is to help pro athletes and regular people alike to understand the value of a good night’s sleep. In this episode, we find out how sleep affects an athlete’s performance and what actually happens in the human body during sleep. Dr. Tuomilehto also shares some of his best tips on how to sleep better. Can you really improve your sleep if you’re light sleeper by nature? Listen to find out. CrossFit is a relatively new sport, but it has been growing quickly from the very beginning. The fast growth has brought some drastic changes, and during her 10-year competitive career, professional CrossFit athlete Annie Thorisdottir has seen how the sport has evolved into one of the most intense competitive sports in the world. In this episode, Annie and her coach/partner Frederik talk to us about the CrossFit world, using technology to improve, and how a great community can help you become a better athlete. Join us and take a peek into the world of competitive CrossFit."
Change &amp; Grow Wellness Show,"The Change & Grow Wellness Show is  another Amazing Women and Men Of Power Podcast Showcase powered by Raven International ... brought to you by the founder Raven Blair Glover.  New shows are posted every Wednesday and Jackie focuses on sharing her best tips and strategies on about Nutrition, Fitness, Mindset, Health, Alternative therapies all about how YOU can Change and Grow. It will feature interviews with coaches, business owners, practitioners all who will inspire you to change and Grow your life or try something new. The show for YOU the busy professional who wants to live a healthier happier life with increased energy and productivity.

This week's show is about Preventation is Better than Cure - What we can do for ourselves.

Our Guest is Tara Whittle

Tara is a qualified Occupational Therapist specialising in Mental Health, Brain Injury, Cognitive and Physical Rehabilitation. She combines this with Holistic Energy Therapies (Reiki, Vortex Healing); Green exercise (Nordic Walking, Tai Chi) and is a Wellness Advocate for Do Terra oils. She runs Naturally Attuned Ltd and is founding Roots to Wellbeing as a pioneering charity / non for profit offering a range of activities and services to support Health and Wellbeing - www.rootstowellbeing.org Tara has been a carer since childhood for her Mum who was a Nurse and has Bi Polar and Tara has experienced 3 brief Psychosis (drug / medication induced) that so she has explored Natural support, wellbeing and methods/ tools to ensure 'Whole Health'. Tara can be contacted at: tara@rootstowellbeing.org

Healthcare is changing, this is a time for us to become more empowered and acknowledge our areas on weakness and where we should direct self care. We have become 'departmentalised' in the way we describe / acknowledge ourselves in medical terms (boxes) when we are much more than this as 'whole beings'. We are important in our physical, mental, emotional and spiritual health and self care can be simplistic as can the tools and techniques we can apply.

Tara will be taking us through 5 Ways of Wellbeing (Connect, Take Notice, Keep Learning, Be Active, Give) she will be giving you some simple tools that you can put in place in order to develop a more self care approach to your life

Tune in its going to be a great show

http://www.rootstowellbeing.org/ We discussed in this episode with Dr Brindusa Vanta

Dr.Vanta’s mission is to help people restore their health and vitality using the power of nutrition and natural
medicine. She is a medical researcher who makes use of latest and scientific studies on brain health and
provides one on one consultations to clients from around the world.

We discussed the following and so much more

What is CBD Oil
What are the benefits of CBD Oil
Is CBD oil more beneficial than medicinal cannabis
What types of ailments that CBD Oil treat
There are so many choices out there now of CBD oil how do we choose the best one for you.
We will also discuss the latest research around CBD Oil We will be talking Energy Therapy and How it Works

Our Guest will be Daniel Whittaker

Born and raised in London, England, I’ve always been able to see Auras and Universal Energy. The first time this ability came to light, was when I was 3 years old.

At that age, my dad told me that I looked at him and said ""Dad, why are you yellow"", to which he replied, ""Im not yellow, im black!"", him being from the Caribbean.

I then said to him ""no.. You are yellow here, here and here"", motioning to the areas around his head. It was at that point that my father concluded that perhaps I was seeing his aura.

Later in life, especially on hot days, when looking up into the sky I became aware of these tiny specks of dancing light. Little globules of light moving independently of each other. These little specks of light were always more present during the summer, and less so during the colder months.

I later learned that what i was observing was ""orgone energy"" or Universal Energy. And it was everywhere!

Later in life the visions increased, and my observations became more detailed. I was able to see when words didn’t match the emotion being expressed by certain individuals. My sensitivity to this phenomenon was developing. In my mid 20's I took up life coaching and became well versed in mental techniques such as Cognitive Behavioural Therapy, and Neuro Linguistic Programming.

I started to become aware of the fact that not only can I see the energy field, I can also feel it. I can feel the subtleties that each change in this energy field exhibits.

I became aware that by playing with this field and moving my hand around began to restore the field. My hands would warm up and the energy field would correct itself.

Those experiences were the foundations of Synergistic Energy Therapy and are responsible for what I have created here.

It is constantly evolving as I delve deeper into myself and reveal more and more of what Im actually capable of.

So this is where I give back. I've learned that this is how I help to improve our existence, that this is my service to humanity.

Come and find out more about this Energy and how it can play a part in your life.

How at a young age Daniel could see auras
How your bare skin can show your auras
Learn about what Synergistic Energy is
Find out about each of the Chaka's How to be your stuntman/woman which can improve your sleep and lifestyle

Guest: Felix HL About Felix I'm a British Trained stunt man having worked on TV productions and films including Star Wars and Game of Thrones. I have a great travel experience having visited around 25 countries and speak 5 languages.

Coupled with my stunt work I run a business in helping give people life transforming breakthroughs in their health such as freedom from back pain, reawakened self confidence and overcoming conditions such as Parkinson's. Now these two work hand in hand being the best I can physically and mentally while helping others to do the same. Looking forward to talking to Felix on Wednesday about how you can be your own stunt man/women which can improve your sleep and lifestyle.

Felix speaks to us about

How you can be your own stuntman or women

What films he has worked in as a stuntman

How being a stuntman has impacted on his health and fitness

How to increase your flexibility

How to get the splits next week.

How about sleeping better routine.

Felix stunt page - https://felixleech1.wordpress.com/

https://www.facebook.com/ICanGetYouTheSplits/

@superflexcoaching

FREE consultation - getoutofpain.co.uk - automated chat with him on Facebook. The show for you the busy professional who wants to live a healthier happier life with increased energy and productivity.

Today's show is about Natural Alternatives to HRT

We have Cat Robinson Armor who is a qualified Homeopath &amp; health coach specializing in Hormonal imbalance and Menopause

About the Hormone Fairy Cat Robinson Armor

Just before my 40th birthday, I started to feel like you. I was showing early signs of peri menopause, mood swings, night sweats and weight gain, rocky relationships and irregular period. I was shocked that I was having these symptoms so early and many of my clients and friends were having them too. That's why I created ""The Hormone Fairy"" for women like you and quite frankly like me, who need to gain control over their hormones and minds.

We talk about the following in this video

What is Hormone Replacement Therapy
Why are Women normally prescribed HRT
What are the benefits of HRT
What are the downsides of HRT
What natural solutions would you suggest to your clients
Cat takes us through a case study of one of her clients that has great results

Where you can find Cat - https://www.thehormonefairy.co.uk/ This weeks show is all about cleansing your body and the benefits.

We have Charlotte Fitzgerald on the show who has just completed a 9 day cleanse with a food and a product that she has partnered with the company to distribute.

Charlotte talks us through what she had to do as part of the cleanse, the benefits of cleansing and why she decided to cleanse after the summer break."
CHANGE STARTS NOW - Der Fitness-Podcast mit Deinem Figurexperten,"Poli Moutevelidis ist dreifacher Weltmeister im Figurbodybuilding und seit mittlerweile 26 Jahren ein Experte, wenn es um die Traumfigur, die Fitness, hartes Training, die richtige mentale Einstellung und zielgerichtete Ernährung geht. Über http://www.PoliOnStage.de erfährst Du News und Infos zu Deinem Personal Trainer. In diesem Podcast erfährst Du alles, was Du zu effektivem Krafttraining, Deiner persönlichen Fitness und gesunder Ernährung wissen musst. Du erfährst nicht nur alles zur persönlichen Fitness-Philosophie Deines Figurexperten, sondern wirst auch viele Tipps und Tricks auf dem Weg zur Traumfigur kennenlernen. Lass Dich vom dreifachen Weltmeister in Deine persönliche Bestform bringen und lebe Deinen persönlichen Fitness-Lifestyle. Daher erfährst du heute:

- Wieso der Weg zur Wunschfigur, auch etwas mit der Wohlfühl-Ernährung zu tun haben sollte.
- Welche Kombination genau uns jeden Morgen dauerhaft im Wohlfühl-Körper aufwachen lassen kann.
- Warum du dich in heutigen Zeiten mehr um DICH kümmern solltest.
- Weshalb uns Fortschritt krank und träge macht.
- Und, welche eine Sache Nuria´s Leben so stark verändert hat, dass sie heute die Nuria ist, die sie ist!
- Außerdem erfährst du, (Achtung Funfact) was diese Episode mit dem ersten Automobil und dem Deutschunterricht zu tun hat.

Ich wünsche dir einen großartigen Start in die neue Woche und viel Erfolg mit allen Tipps aus diesem Interview mit Nuria!

Dein Poli Moutevelidis Weil Diäten schon vor 50 Jahren ein echter Dauerbrenner waren, bekommst du auch heute hier das volle Programm und erfährst:

- Dass natürlich auch in dem Fall, Achtsamkeit wieder der Schlüssel sein kann, der dich zum Wunschkörper führt. 
- Wieso Diäten immer noch nicht funktionieren und welche Folgen sie tatsächlich haben können, denen wir uns in dem Umfang gar nicht bewusst sind.
- Woran Nuria ihr Leben lang scheiterte und dann ihr Leben, ihren gesamten Lebensstil umkehrte, um daran zu wachsen!
- Was der Buddhist als Affengeist bezeichnet.
- Außerdem lernst du die 7 Achtsamkeit-Routinen kennen, die dir helfen werden wieder auf dich selbst und deine innere Weisheit zu hören.
- Und, du wirst nach dieser Episode vielleicht schon bald mehr Ruhe und Entspannung im Alltag erleben.

Und jetzt wünsche ich dir viel Spaß und natürlich Erfolg beim hören und umsetzen dieser Episode mit Nuria.

Außerdem wünsche ich dir einen großartigen Start in die neue Woche!
Dein Poli Moutevelidis Heute geht es um dich und deine innere Weisheit, denn ich möchte dir in diesem Interview mit der großartigen Nuria Pape einen Weg zu mehr Achtsamkeit aufzeigen.

Du erfährst heute:

- Wieso du den Mut haben darfst, das Leben so anzunehmen, wie es verläuft.
- Weshalb unsere Kinder für ein achtsames Leben die besten Lehrmeister sind.
- Welche Vorteile das Buffett im Urlaub für deine Glaubenssätze bereit halten kann!
- Und wieso du aus Nuria´s Sicht eine Diva sein darfst!
- Außerdem lernst du die 3 Achtsamkeits-komponenten kennen und erfährst welcher Glaubenssatz auch dir helfen kann, dauerhaft im Wunschkörper zu leben.

Auch ich selbst habe in diesem Interview mit mitgenommen, was ich schon in meinem Leben umgesetzt habe und dies wünsche ich mir auch für dich!

Genieß das Interview, nimm dir für dich alles mit und genieß dein Leben!

Und natürlich wünsche ich dir einen großartigen Start in die neue Woche!

Dein Poli Moutevelidis Das Jahr liegt hinter uns und ich möchte heute mit dir über meine Learnings aus 2019 sprechen!

Denn du erfährst heute:

- Welche derben Hindernisse, Dämpfer und Einbahnstraßen das Jahr 2019 für mich bereitgehalten hat. 
- Welche Lehren ich daraus gezogen habe.
- Wieso es für dich wichtig ist flexibel zu bleiben.
- Warum ich denke, dass mich 2019 dennoch reich beschenkt hat.
- Und warum 2020 ein ebenso großartiges Jahr werden wird!

Ich wünsche dir viel Spaß mit dieser Episode und natürlich einen großartigen Start in die Woche und selbstverständlich ein sensationelles 2020!!

Dein Poli Moutevelidis In der letzten Episode dieses Jahres, wird es noch mal richtig spannend!!

Denn du erfährst:

- Wieso du Ziele haben solltest und auch an deinen ganz persönlichen Zielen arbeiten darfst.

- Warum du als Papa oder Mama deine Ziele möglichst rational planen solltest, um nicht auf halber Strecke den Mut zu verlieren.

- Weshalb das WIE beim Ziele erreichen, aus Johannes Sicht sogar wichtiger, als das WARUM hinter dem Ziel ist.

- Und wieso deine Werte dein absoluter Anker im Leben sein sollten.

- Außerdem bekommst du handverlesene Strategien und Ideen, für Fitness und Gesundheit im Vorbeigehen, im Alltag mit deinen Kids.

Nun wünsche ich dir einen großartigen Start in die letzte Woche des Jahres, viel Erfolg und Spaß mit dieser Episode und den allerbesten Start ins Jahr 2020!!

Dein Poli Moutevelidis Heute erfährst du:

- Wieso du ganz klare Prioritäten setzen solltest, was die Familie, aber auch den Rest deines Lebens betrifft.
- Warum du dir ganz deutlich bewusst machen solltest, dass es dich, dich ganz persönlich nur ein einziges mal auf dieser Welt gibt.
- Was persönliche Auszeiten, Urlaub und Familienzeit wirklich bedeuten darf.
- Und, wieso es immer eine hervorragende Idee sein kann Frühaufsteher zu werden.
- Außerdem erfährst du, was es wirklich bedeutet Vollzeit-Mama zu sein.

Ich wünsche dir jetzt viel Spaß mit der Episode und einen tollen Start in die neue Woche!
Außerdem wünsche ich dir das schönste und tollste Weihnachtsfest mit viel gemeinsamer Zeit mit der Familie!

Dein Poli Moutevelidis"
Charlando con Jessy,"Hablamos semanalmente de entrenamiento en gimnasio y nutrición con un punto de vista femenino. Una vez más nos visita la nutricionista Camila Iregui para conversar mas sobre la alimentación en niños. En este episodio Jessy y Steph tienen de invitada a la nutricionista Camila Iregui conversando sobre Alimentación complementaria en niños: justo ese momento en que se empieza a dar la transición del pecho a comida sólida. Este método también se le conoce como Baby-Lead Weaning. En esta época de fiestas no van a faltar las reuniones, las celebraciones con mucha comida y bebidas. ¿Qué hacer para no echar a perder todos los esfuerzos de todo un año? Jessy Fit y la nutri Steph hablan de cuánto y qué hay que pagar para estar fit. Jessy Fit y la nutri Stephanie hablan acerca de las ideas erróneas que hay sobre los planes alimenticios y cómo hay personas que se aprovechan para vender cualquier cosa. Jessy tiene una conversación más personal con la piscóloga y amiga dra. Melissa Miranda. Hablan sobre las dificultades que tuvo Melissa para poder cumplir con sus objetivos de actividad física"
Chase Greatness,"An in site into some of the fitness industry’s most passionate and driven individuals. A few months back myself and Chris where invited to Miami for an event hosted by 1up nutrition. This podcast was completely spontaneous however I feel it is incredibly powerful. Everything that we spoke about is heartfelt and spoken with passion so I hope you guys can put up with the background music long enough as there are some really incredible parts to this podcast. We speak about Chris’s upbringing, his passion to help others and how above all a young kid from rural Ireland has solidified himself as one of the best online coaches and mentors in the world. I hope you enjoy Episode 2 of the Chase Greatness Podcast features Daniel Hoang, Daniel is the owner and creator of the jewellery and apparel brand Zephyr Collection. Daniel is also a fitness Youtuber, competes in men’s physique and is sponsored by some of the Industries leading brands such as Alphalete and 1up Nutrition. In this episode we talk about what it takes to be a full time entrepreneur, how he and Christian Guzman first met and then went on to be great friends, how to set an example on social media and also some of the things you’re going to need to adopt to become the best version of yourself. The first official Chase Greatness podcast featuring the worlds best online transformation coach and great friend Charlie Johnson. In this episode me and Charlie discus a hosts of different topics based around how to become a successful coach, taking the leap from a secured 9-5 to pursue his true passion, and some of the tools you have to implement to make a name for yourself on social media."
Chasing Excellence,"Chasing Excellence is a show dedicated to dissecting what it means to live a life of excellence, both inside the gym & out. On each episode, we'll deep dive on various aspects of being an athlete & maximizing your potential. This week's 3x3 is looking at mistakes I think everyone should make, shortcuts to assessing overall health, &amp; self-development books I've found helpful. We're answering a few listener questions this week about how to respond to people who don't get why you're dedicating your time and energy to something they don't understand (like trying to make it to the CrossFit Games). Another 2:00 Drill this week, covering questions about cheat meals, getting the most out of what you're reading, and tips on gaining weight. We're going behind the scenes of my recent TEDx talk, talking about the kind of prep I did, the process of cutting it from 50 minutes to 12, and what it was like working with a coach. We're back with another 3x3! This week, we're talking about 3 things I recommend everybody do every morning, 3 tips for parents of teenagers, and 3 ways to stop being so addicted to your phone. We're answering a listener question today about responding to adversity, the balance between staying Stoic &amp; being complacent, &amp; how to know when you're reaching for something beyond your control."
Chats with Chels,"Chats with Chels - a podcast focused on empowering, uplifting, and inspiring every woman AND man to be their best, most badass selves while staying fit, fashionable and fun AF! We dive headfirst into all things health, wellness, fitness, beauty, and fashion. We will chat with badass entrepreneurs, other folks in the fitness and scene, and of course, catch ALL the good vibes Join me, Chelsea, as we level up, stay fit, and run headfirst into the life of our dreams!!"
Chattanooga Fitness Expo Download,"Welcome to the official podcast of the first Chattanooga Fitness Expo. DOWNLOAD #1 – January 24, 2020

Chattanooga Fitness Expo Download Host, Shawn Whitfield, explains a little bit of what you can expect at the 2020 Chattanooga Fitness Expo. Also, talks to Chattanooga’s IFBB Pro Bodybuilder, Matt Davis, about his bodybuilding career and advice to others young competitors coming up in bodybuilding.



35 Minutes"
Chattin Pony with Paddy The Baddy,"MMA star Paddy The Baddy chats about training, mental health & all things Scouse. No subject is off the table, with weekly guests. Episode 3. Paddy returns with more Chattin Pony joined by his special guest Paul Reed. Paul has recently started working with Paddy as his 'Strength &amp; Conditioning' coach. The pair chat about the importance of a healthy diet while training as well as the dangers fighters face when making dangerous weight cuts for fights.

Watch the full video on the YouTube Channel 'Chattin Pony' Episode 2. Paddy returns for his Chattin Pony podcast, this time joined by special guest &amp; mental health nurse Paul Webb to chat about mental health &amp; well being. MMA star Paddy The Baddy introduces his brand new podcast, which will run weekly with guests."
Cheat Day,"Two life-long friends, Alex and Gabe, take a real, raw, unflinchingly honest journey through food, fitness, and the struggles they've had with each as they try to finally get fit. And they sometimes have interesting guests! In the second half of the emotional eating episode, Alex shares some fears and roadblocks around his impending fatherhood and GB gets nasty in the DR. In the first of a two-parter, the boys get into some of the emotional and holiday eating pitfalls they've encountered as well as the inadvisability of airing one's dirty laundry without proper preparation. Also, we have opening music now! In episode two, the boys discuss their progress, upcoming challenges, and the finer points of fad diets. Gabe reveals his kryptonite in the form of a decadent pizza and Alex discovers a very strange ad campaign of yesteryear. In the inaugural episode of Cheat Day, Alex and Gabe introduce themselves, their process and their reasons for the journey ahead. Also, Gabe has a roadside emergency and Alex overdoes it on the leafy greens."
Cheerleading : Immature to Marture,we’re giving our take! We’re giving our own takeb
Chewing the Fat,"Join Liam and Natalie of The Real Sharpes as they embark on an open and frank dissection of Fat Loss, Mental Health, Diets and Eating Habits. We'll laugh and cry together, but most of all have a blooming great time. Well, we will... we can't guarantee you will. In this week's serving, Liam laments his choice of trimming apparatus for his nether regions, Natalie reveals her top tips for getting back on the wagon post holiday and the daft duo share their holiday based nutritional wisdom. Please leave us a Review on Apple Podcasts! We'd love to hear your feedback. In this week's offerings, Natalie reveals how she ruined a £50 bikini with bodily fluids and Liam explains why you should definitely NOT follow his advice when it comes to nutrition when on Holiday. In this week's episode there's an unwelcome visitor and a lamentation of jugs. Natalie discusses her body image and Liam attempts to boast about his new found ""endurance""... In this week's episode Liam's horrendous parenting is laid bare and Natalie shares some valuable cake based life lessons. In the very first episode of Chewing the Fat, Liam and Natalie discuss naked P.E at Primary Schools, brown bread and Flora been the elixir of life and introduce themselves, warts and all, as they embark on a crusade to be open and honest about, well... everything."
